airdesk,,,,NNG,*,F,airdesk,Compound,*,*,air/NNG/*+desk/NNG/*
airpod,,,,NNG,*,F,airpod,Compound,*,*,air/NNG/*+pod/NNG/*
airpods,,,,NNG,*,F,airpods,Compound,*,*,air/NNG/*+pods/NNG/*
airrex,,,,NNG,*,F,airrex,Compound,*,*,air/NNG/*+rex/NNG/*
airwasher,,,,NNG,*,F,airwasher,Compound,*,*,air/NNG/*+washer/NNG/*
akracing,,,,NNG,*,F,akracing,Compound,*,*,ak/NNG/*+racing/NNG/*
alienware,,,,NNG,*,F,alienware,Compound,*,*,alien/NNG/*+ware/NNG/*
aliexpress,,,,NNG,*,F,aliexpress,Compound,*,*,ali/NNG/*+express/NNG/*
allinone,,,,NNG,*,F,allinone,Compound,*,*,all/NNG/*+in/NNG/*+one/NNG/*
allterrainvehicle,,,,NNG,*,F,allterrainvehicle,Compound,*,*,all/NNG/*+terrain/NNG/*+vehicle/NNG/*
alphascan,,,,NNG,*,F,alphascan,Compound,*,*,alpha/NNG/*+scan/NNG/*
alphasink,,,,NNG,*,F,alphasink,Compound,*,*,alpha/NNG/*+sink/NNG/*
alphatab,,,,NNG,*,F,alphatab,Compound,*,*,alpha/NNG/*+tab/NNG/*
alvieromartini,,,,NNG,*,F,alvieromartini,Compound,*,*,alviero/NNG/*+martini/NNG/*
ambubag,,,,NNG,*,F,ambubag,Compound,*,*,ambu/NNG/*+bag/NNG/*
americantourist,,,,NNG,*,F,americantourist,Compound,*,*,american/NNG/*+tourist/NNG/*
americantourister,,,,NNG,*,F,americantourister,Compound,*,*,american/NNG/*+tourister/NNG/*
angelcare,,,,NNG,*,F,angelcare,Compound,*,*,angel/NNG/*+care/NNG/*
animalpro,,,,NNG,*,F,animalpro,Compound,*,*,animal/NNG/*+pro/NNG/*
ankleboots,,,,NNG,*,F,ankleboots,Compound,*,*,ankle/NNG/*+boots/NNG/*
antifog,,,,NNG,*,F,antifog,Compound,*,*,anti/NNG/*+fog/NNG/*
antiglare,,,,NNG,*,F,antiglare,Compound,*,*,anti/NNG/*+glare/NNG/*
anypro,,,,NNG,*,F,anypro,Compound,*,*,any/NNG/*+pro/NNG/*
anyshop,,,,NNG,*,F,anyshop,Compound,*,*,any/NNG/*+shop/NNG/*
appletv,,,,NNG,*,F,appletv,Compound,*,*,apple/NNG/*+tv/NNG/*
aptx,,,,NNG,*,F,aptx,Compound,*,*,apt/NNG/*+x/NNG/*
aquabeat,,,,NNG,*,F,aquabeat,Compound,*,*,aqua/NNG/*+beat/NNG/*
aquapro,,,,NNG,*,F,aquapro,Compound,*,*,aqua/NNG/*+pro/NNG/*
aquapure,,,,NNG,*,F,aquapure,Compound,*,*,aqua/NNG/*+pure/NNG/*
armband,,,,NNG,*,F,armband,Compound,*,*,arm/NNG/*+band/NNG/*
armchair,,,,NNG,*,F,armchair,Compound,*,*,arm/NNG/*+chair/NNG/*
armorall,,,,NNG,*,F,armorall,Compound,*,*,armor/NNG/*+all/NNG/*
armwarmer,,,,NNG,*,F,armwarmer,Compound,*,*,arm/NNG/*+warmer/NNG/*
arnaldobassini,,,,NNG,*,F,arnaldobassini,Compound,*,*,arnaldo/NNG/*+bassini/NNG/*
arnoldpalmer,,,,NNG,*,F,arnoldpalmer,Compound,*,*,arnold/NNG/*+palmer/NNG/*
aromatherapy,,,,NNG,*,F,aromatherapy,Compound,*,*,aroma/NNG/*+therapy/NNG/*
asrock,,,,NNG,*,F,asrock,Compound,*,*,as/NNG/*+rock/NNG/*
asuspro,,,,NNG,*,F,asuspro,Compound,*,*,asus/NNG/*+pro/NNG/*
ativbook,,,,NNG,*,F,ativbook,Compound,*,*,ativ/NNG/*+book/NNG/*
ativm,,,,NNG,*,F,ativm,Compound,*,*,ativ/NNG/*+m/NNG/*
ativtab,,,,NNG,*,F,ativtab,Compound,*,*,ativ/NNG/*+tab/NNG/*
atocare,,,,NNG,*,F,atocare,Compound,*,*,ato/NNG/*+care/NNG/*
audemarspiguet,,,,NNG,*,F,audemarspiguet,Compound,*,*,audemars/NNG/*+piguet/NNG/*
audiocomm,,,,NNG,*,F,audiocomm,Compound,*,*,audio/NNG/*+comm/NNG/*
audiolink,,,,NNG,*,F,audiolink,Compound,*,*,audio/NNG/*+link/NNG/*
audiosynergy,,,,NNG,*,F,audiosynergy,Compound,*,*,audio/NNG/*+synergy/NNG/*
autocad,,,,NNG,*,F,autocad,Compound,*,*,auto/NNG/*+cad/NNG/*
autofocus,,,,NNG,*,F,autofocus,Compound,*,*,auto/NNG/*+focus/NNG/*
autoloader,,,,NNG,*,F,autoloader,Compound,*,*,auto/NNG/*+loader/NNG/*
autoview,,,,NNG,*,F,autoview,Compound,*,*,auto/NNG/*+view/NNG/*
avermedia,,,,NNG,*,F,avermedia,Compound,*,*,aver/NNG/*+media/NNG/*
backbar,,,,NNG,*,F,backbar,Compound,*,*,back/NNG/*+bar/NNG/*
backbeat,,,,NNG,*,F,backbeat,Compound,*,*,back/NNG/*+beat/NNG/*
backbeatgo,,,,NNG,*,F,backbeatgo,Compound,*,*,back/NNG/*+beat/NNG/*+go/NNG/*
backjoy,,,,NNG,*,F,backjoy,Compound,*,*,back/NNG/*+joy/NNG/*
backpack,,,,NNG,*,F,backpack,Compound,*,*,back/NNG/*+pack/NNG/*
backpacker,,,,NNG,*,F,backpacker,Compound,*,*,back/NNG/*+pack/NNG/*+er/NNG/*
backpackers,,,,NNG,*,F,backpackers,Compound,*,*,back/NNG/*+pack/NNG/*+ers/NNG/*
backpacking,,,,NNG,*,F,backpacking,Compound,*,*,back/NNG/*+pack/NNG/*+ing/NNG/*
backpacks,,,,NNG,*,F,backpacks,Compound,*,*,back/NNG/*+pack/NNG/*+s/NNG/*
backplate,,,,NNG,*,F,backplate,Compound,*,*,back/NNG/*+plate/NNG/*
backup,,,,NNG,*,F,backup,Compound,*,*,back/NNG/*+up/NNG/*
backupjeans,,,,NNG,*,F,backupjeans,Compound,*,*,back/NNG/*+up/NNG/*+jeans/NNG/*
bagpack,,,,NNG,*,F,bagpack,Compound,*,*,bag/NNG/*+pack/NNG/*
ballybag,,,,NNG,*,F,ballybag,Compound,*,*,bally/NNG/*+bag/NNG/*
bamboobag,,,,NNG,*,F,bamboobag,Compound,*,*,bamboo/NNG/*+bag/NNG/*
baobaobag,,,,NNG,*,F,baobaobag,Compound,*,*,baobao/NNG/*+bag/NNG/*
barchair,,,,NNG,*,F,barchair,Compound,*,*,bar/NNG/*+chair/NNG/*
barebone,,,,NNG,*,F,barebone,Compound,*,*,bare/NNG/*+bone/NNG/*
barrelbag,,,,NNG,*,F,barrelbag,Compound,*,*,barrel/NNG/*+bag/NNG/*
barstool,,,,NNG,*,F,barstool,Compound,*,*,bar/NNG/*+stool/NNG/*
baseqi,,,,NNG,*,F,baseqi,Compound,*,*,base/NNG/*+qi/NNG/*
baskinrobbins,,,,NNG,*,F,baskinrobbins,Compound,*,*,baskin/NNG/*+robbins/NNG/*
basswalton,,,,NNG,*,F,basswalton,Compound,*,*,bass/NNG/*+walton/NNG/*
battlebox,,,,NNG,*,F,battlebox,Compound,*,*,battle/NNG/*+box/NNG/*
bbbalm,,,,NNG,*,F,bbbalm,Compound,*,*,bb/NNG/*+balm/NNG/*
